l_corr f_corr u_precision u_recall ts_precision ts_recall method tau seed
0.328385526254377 0.48339406370188 NA 0 NA 0 NBSFA 1 4
-0.0145962173137356 0.49568217471749 1 0.0277777777777778 0.666666666666667 0.0204081632653061 NMF 1 4
-0.344152937898049 -0.609537003780247 1 0.138888888888889 1 0.0102040816326531 PCA 1 4
0.339003071160367 0.601101134237142 1 0.138888888888889 1 0.0102040816326531 softImpute 1 4
-0.42768890458274 -0.586250135202878 1 0.0277777777777778 NA 0 SSVD 1 4
0.242770200795048 0.46359231171445 NA 0 0 0 PMA_cv1 1 4
-0.297018915059883 -0.281703472596681 NA 0 NA 0 PMA_cv2 1 4
-0.527981078470518 -0.715869401050657 1 0.25 NA 0 flashr_default 1 4
0.524841778524043 0.716717749050175 1 0.25 NA 0 flashr_backfit 1 4
0.524494603774385 0.722127283193279 1 0.25 NA 0 flashr_nn 1 4
0.269743960244557 0.29899822539786 NA 0 NA 0 sn_spMF 1 4
