l_corr f_corr accuracy precision recall method tau seed
-0.155373964141339 0.741287600793758 0.718 0.462765957446808 0.68503937007874 NMF 50 6
0.584018270651181 0.632141425859669 0.806 0.631578947368421 0.566929133858268 PCA 50 6
0.694152211188369 0.730252211655505 0.794 0.605263157894737 0.543307086614173 softImpute 50 6
-0.412538307695169 -0.727333927120228 0.742 0.488636363636364 0.338582677165354 SSVD 50 6
0.478333769505389 0.474099477152052 0.7 0.4 0.362204724409449 PMA_cv1 50 6
-0.462430634431553 -0.45189058392642 0.636 0.302158273381295 0.330708661417323 PMA_cv2 50 6
0.426861074427899 0.702690312486518 0.744 0.494117647058824 0.330708661417323 flashr_default 50 6
0.965595258421592 0.999640748338258 0.908 0.976470588235294 0.653543307086614 flashr_backfit 50 6
0.965376108161054 0.999690082621238 0.906 0.965116279069767 0.653543307086614 flashr_nn 50 6
0.960821668165185 0.999534645534797 0.904 0.964705882352941 0.645669291338583 sn_spMF 50 6
