l_corr f_corr u_precision u_recall ts_precision ts_recall method tau seed
0.358505679772932 0.530648866812387 NA 0 0.307692307692308 0.0898876404494382 NBSFA 50 3
0.0372797635344017 0.749286609288048 1 0.916666666666667 0.408284023668639 0.775280898876405 NMF 50 3
-0.583646874607595 -0.591596206262629 0.772727272727273 0.944444444444444 0.471428571428571 0.370786516853933 PCA 50 3
-0.809726487427795 -0.844625659070325 0.772727272727273 0.944444444444444 0.657142857142857 0.51685393258427 softImpute 50 3
-0.404045748967913 -0.680180177028731 0.815789473684211 0.861111111111111 0.255813953488372 0.123595505617978 SSVD 50 3
-0.41864923723459 -0.664514650738604 0.772727272727273 0.944444444444444 0.352112676056338 0.280898876404494 PMA_cv1 50 3
-0.451182499402419 -0.435158155490288 0.96875 0.861111111111111 0.186440677966102 0.247191011235955 PMA_cv2 50 3
0.303703342392837 0.741561582625195 1 0.916666666666667 0.206349206349206 0.146067415730337 flashr_default 50 3
0.954033296103826 0.999124987714167 1 0.916666666666667 0.967741935483871 0.674157303370786 flashr_backfit 50 3
0.954311544852325 0.999615698635228 1 0.916666666666667 0.968253968253968 0.685393258426966 flashr_nn 50 3
0.944130856484774 0.998191087844175 1 0.916666666666667 0.953125 0.685393258426966 sn_spMF 50 3
