l_corr f_corr u_precision u_recall ts_precision ts_recall method tau seed
-0.241132788060287 -0.471895887819352 0 0 0.8 0.173913043478261 NBSFA 100 7
-0.00752981658618522 0.758248679812872 1 0.833333333333333 0.427710843373494 0.771739130434783 NMF 100 7
-0.494742475475642 -0.680316400759853 0.675 0.9 0.404761904761905 0.369565217391304 PCA 100 7
-0.677263633527246 -0.635099314226065 0.675 0.9 0.642857142857143 0.58695652173913 softImpute 100 7
0.484788881523684 0.578874806171403 0.117647058823529 0.0666666666666667 0.523255813953488 0.489130434782609 SSVD 100 7
0.433681013443848 0.526585852933723 0.1 0.0666666666666667 0.510204081632653 0.543478260869565 PMA_cv1 100 7
-0.581969628173962 -0.397006278526732 0.65 0.866666666666667 0.291666666666667 0.380434782608696 PMA_cv2 100 7
0.963587350730747 0.999267083105423 0.926 0.988505747126437 0.704918032786885 0.963587350730747 flashr_default 100 7
0.728357369209713 0.681666240879219 0.852 0.772727272727273 0.557377049180328 0.728357369209713 flashr_backfit 100 7
0.968477348796421 0.999467950728363 0.926 0.988505747126437 0.704918032786885 0.968477348796421 flashr_nn 100 7
0.968748752530731 0.999503265220903 1 0.833333333333333 0.983870967741935 0.66304347826087 sn_spMF 100 7
