Gene	SNP	Feature1	Feature2	Feature3	Feature4	Feature5	Feature6	Feature7	Feature8	Feature9	Feature10
Gene1	SNP1	1.94699981426921	1.97692729567473	2.05916385906888	2.18792439937109	2.08313914238224	2.10119073834453	1.85726755635006	2.0787894555112	2.00239237887192	1.83367489559664
Gene2	SNP2	0.0801044330454799	0.0121266983090645	0.174460889977646	-0.0486060411798004	-0.0150190166121886	-0.0646087909570777	0.010291762637012	0.0682033367292998	-0.0451726585312946	0.111039475578833
Gene3	SNP3	-0.864081487512852	-0.84807165016318	-0.599157438197977	-0.84485795541287	-0.702075737650654	-0.781380813993297	-0.702333024917312	-0.574385880262001	-0.584614365538208	-0.776363988950682
Gene4	SNP4	-0.0397312540149038	0.438558458497759	0.255498916190892	0.242925033110713	0.187452347199752	0.239803141809636	0.172354716337376	0.230861763839794	0.148767625116579	0.0517715117595968
Gene5	SNP5	0.099889178377112	0.153079854181579	-0.0297687052909372	-0.124223623929145	0.0653294821994065	-0.00336556205777378	-0.17221648905086	0.0013185375996511	-0.0619246817611905	-0.0329915063544164
Gene6	SNP6	-0.705178182451657	-0.409206755396325	-0.622634149827194	-0.75007228741338	-0.569801602314124	-0.563203381547525	-0.688103616229001	-0.878413013356026	-0.653569116444583	-0.532470182596024
Gene7	SNP7	1.17211466896894	1.16826912217268	1.23416906943522	1.05944113271526	1.28776470100063	1.17755259374539	1.24881806331301	1.28149777004695	1.20043503806473	1.0902162352866
Gene8	SNP8	1.32416426157991	1.00785131150462	1.153388731983	1.18230073506747	1.19125570230667	1.30991419686158	1.22148999529345	1.24858456632556	1.20090232468188	1.18310137182124
Gene9	SNP9	-1.20703712779607	-1.16196937273646	-1.51690182994722	-1.21931825293345	-1.23911976778017	-1.31911898061364	-1.18149092770035	-1.31551592662987	-1.30502527463799	-1.19085123065006
Gene10	SNP10	0.888670205929266	0.743712966110929	0.674489075038442	0.597796146531247	0.683604178129305	0.622724543366204	0.690814217705327	0.756145392839363	0.631521766814819	0.981624164126694
Gene11	SNP11	-0.377206761875476	-0.27978720269649	-0.621720327425994	-0.31870781372244	-0.52443244548714	-0.30082756168107	-0.352994913896788	-0.433560787368961	-0.260382066424257	-0.462931096366676
Gene12	SNP12	-0.37805429897256	-0.420100086651049	-0.386810729223846	-0.225474373211199	-0.276622653593991	-0.219476946780803	-0.359004734953875	-0.282355839371042	-0.295576376099857	-0.462618602786761
Gene13	SNP13	-0.101270374229014	-0.265668536883191	-0.202553403060773	-0.183599635285661	-0.284169873120786	-0.309694844953256	-0.189745932734008	-0.383843117882688	-0.0819795643541438	-0.317476513605395
Gene14	SNP14	-0.423479956032165	-0.437673216864601	-0.580597912901072	-0.532172394774514	-0.69134933421311	-0.55659383595742	-0.484533240424045	-0.578986637569944	-0.6343081771751	-0.654472671504708
Gene15	SNP15	0.996436561451663	1.10694494978159	0.951631310683787	0.98792779258117	0.87061480333183	1.0494600873154	1.13081895572533	1.14973290465419	1.08149907680365	0.813049924693653
Gene16	SNP16	-1.33622389697212	-1.33881328705437	-1.41976687596748	-1.36737790028969	-1.47083044279718	-1.31650376998293	-1.4171369488498	-1.54133506589889	-1.42117192300154	-1.24798335447751
Gene17	SNP17	1.83586248595046	1.94256562664449	1.96394918644336	1.86973049285622	1.8340583918686	1.81632107151023	1.94324954498106	1.7629448808753	1.89391170677722	1.84034068576715
Gene18	SNP18	0.198611441723653	0.284215331765128	0.516702310251705	0.405972482318928	0.505428698985813	0.613847823703308	0.572488495483362	0.492827226603748	0.463096646029122	0.405820534726714
Gene19	SNP19	-0.0808579214225928	-0.179023689981187	-0.356004795000169	-0.254211354402065	-0.430538082940017	-0.258172985524096	-0.497879867907631	-0.107246884193227	-0.302201401016246	-0.281644984782452
Gene20	SNP20	1.04155121547882	1.11970486610793	1.12631706643129	1.11527824595619	1.00122878831641	0.922153923081186	1.01961082427523	1.08627446195407	0.976174936551818	1.05159895526117
Gene21	SNP21	-0.11676623261298	-0.00083090142156068	0.0128855401597405	-0.0145875628461003	-0.0163910956736068	0.57446108064556	0.0762586512418318	0.111143108073063	-0.0923206952829831	0.0164341838427956
Gene22	SNP22	0.115482518709727	-0.00565214245264898	-0.212936064823465	0.0344845762099456	-0.190495544558553	-0.693143408564793	0.13240043212996	0.0615636849302674	0.109166895553536	0.0306604861513632
Gene23	SNP23	-0.0110158762482857	-0.0924312773127284	0.15929137537192	0.00450105981218803	-0.0715128400667882	1.5520771715346	0.10744409582779	0.189565477419858	-0.0602997303605094	-0.0390867820723137
Gene24	SNP24	-0.0416222031530192	-0.0375657422820391	-0.0366630945702358	-0.0295677452700886	0.144182041019987	-1.00385146083556	-0.038816750592136	0.0652536452171517	0.112477244653513	-0.0772110803023928
Gene25	SNP25	-0.0508086216138287	0.0523620590498017	0.101775422653797	-0.0251164588087978	-0.142999344738861	-0.397756629608414	0.143506957231162	-0.071037114584988	-0.00650675736555838	-0.175946873536593
Gene26	SNP26	0.0569722971819101	0.161234679820178	-0.163728064710472	-0.0779568513201747	-0.0641176933750564	-0.203291754480948	-0.203328559561795	0.0500963559247907	-0.153179813996574	-0.00249976392782635
Gene27	SNP27	0.0592984721025293	-0.019819542148464	0.0892008392473526	-0.00257150709181537	-0.0647660450585665	-1.4589308589263	-0.0433832740029588	0.17726111849785	-0.00182597111630101	0.0852814993600531
Gene28	SNP28	0.0205162903244026	-0.300804859892048	-0.136611193132898	-0.0424102260144812	0.0236803663745558	-0.538456235670197	0.0961696633380712	-0.060442573385444	-0.0752877279362913	-0.155561159254425
Gene29	SNP29	-0.145389373800106	0.00563318360544103	0.0509369406673892	-0.20978829597843	-0.100436197944933	-1.1710354426731	-0.0453037084649918	0.216536850181726	0.124574667274811	0.0595498034069596
Gene30	SNP30	0.00048844495381889	0.0279360782055259	-0.0705906125267626	0.0628017152957251	0.14802139600857	-0.0990377525936371	-0.0813244256664091	-0.161887684922359	-0.0109655699488241	0.0440889370916978
Gene31	SNP31	0.13509939798086	-0.131860948453356	0.0364384592607448	0.0233499835088518	0.119395526125905	0.491397334054869	-0.0357298854504253	-0.114681413611837	-0.0517420483593623	-0.0362123772578272
Gene32	SNP32	0.235055432578911	0.244653137569996	-0.0166703279484276	-0.104366743906189	-0.197293493407467	1.39450598851421	-0.109057358373486	0.228465932554436	-0.0885617572657959	0.0111106429745722
Gene33	SNP33	0.381027668071067	-0.110890999794325	0.0307566624421454	-0.110689447222516	0.034765364882196	-0.187517194719766	0.00773031227369236	-0.0296868642156621	-0.118324224043267	0.00112926884238996
Gene34	SNP34	0.0991601036059367	0.159396745390374	-0.137271127092917	-0.0249610933042319	0.115942452685555	-0.184986638910686	-0.252850068885039	-0.0935902558513312	-0.0967239457935565	0.00474885923277959
