V1	V2	V3	V4	V5
1.98039989850586	0	0	0	0
0.0280021587806661	0	0	0	0
-0.743273208882405	0	0	0	0
0.188792299514343	0	0	0	0
0.00110535163162413	0	0	0	0
-0.589520946188072	0	0	0	0
1.1780869965732	0	0	0	0
1.20786780598317	0	0	0	0
-1.27659220845804	0	0	0	0
0.716707476017206	0	0	0	0
-0.392807929441984	0	0	0	0
-0.319992868548507	0	0	0	0
-0.279113302976559	0	0	0	0
-0.588894486259664	0	0	0	0
1.00002880371391	0	0	0	0
-1.38442684738449	0	0	0	0
1.86929062242358	0	0	0	0
0.425100377372448	0	0	0	0
-0.238647100913033	0	0	0	0
1.05848304870902	0	0	0	0
0	0.398105880367068	0	0	0
0	-0.612026393250771	0	0	0
0	1.46555486156289	0	0	0
0	-0.934097631644252	0	0	0
0	-0.568668732818502	0	0	0
0	-0.135178615123832	0	0	0
0	-1.52356680042976	0	0	0
0	-0.304183923634301	0	0	0
0	-1.22461261489836	0	0	0
0	-0.207380743601965	0	0	0
0	0.494188331267827	0	0	0
0	1.34303882517041	0	0	0
0	-0.100190741213562	0	0	0
0	-0.0735644041263263	0	0	0
0	-0.681660478755657	0	0	0
0	-1.53644982353759	0	0	0
0	-0.652094780680999	0	0	0
0	-0.0568967778473925	0	0	0
0	0.0173956196932517	0	0	0
0	-0.018559832714638	0	0	0
0	-0.929362147453702	0	0	0
0	-1.48746031014148	0	0	0
0	2.30797839905936	0	0	0
0	0	0.153253338211898	0	0
0	0	0.475509528899663	0	0
0	0	-1.2536334002391	0	0
0	0	0.558486425565304	0	0
0	0	-0.573265414236886	0	0
0	0	-0.910921648552446	0	0
0	0	1.76728726937265	0	0
0	0	0.384185357826345	0	0
0	0	0.0601604404345152	0	0
0	0	-1.28630053043433	0	0
0	0	-0.318068374543844	0	0
0	0	-1.07519229661568	0	0
0	0	-0.621266694796823	0	0
0	0	-1.42449465021281	0	0
0	0	-0.144399601954219	0	0
0	0	0	0.341119691424425	0
0	0	0	2.17261167036215	0
0	0	0	0.370018809916288	0
0	0	0	0.267098790772231	0
0	0	0	-0.54252003099165	0
0	0	0	0.158028772404075	0
0	0	0	-0.654584643918818	0
0	0	0	0.910174229495227	0
0	0	0	-0.635736453948977	0
0	0	0	-0.177330482269606	0
0	0	0	0.712666307051405	0
0	0	0	-0.324270272246319	0
0	0	0	-1.91435942568001	0
0	0	0	0.207538339232345	0
0	0	0	0	-0.0392400027331692
0	0	0	0	0.689739362450777
0	0	0	0	-1.80495862889104
0	0	0	0	0.0743413241516641
0	0	0	0	1.58683345454085
0	0	0	0	0.0421158731442352
0	0	0	0	1.68217608051942
0	0	0	0	-0.505957462114257
0	0	0	0	-0.0376341714670479
0	0	0	0	0.886422651374936
0	0	0	0	-0.077152935356531
-1.12936309608079	1.43302370170104	0	0	0
-0.135054603880824	2.40161776050478	0	0	0
0.291446235517463	-0.443291873218433	0	0	0
-0.214579408546869	-0.179556530043387	0	0	0
0	1.16040261569495	0.700213649514998	0	0
0	-0.473400636439312	-0.620366677224124	0	0
0	-0.300976126836611	-0.528279904445006	0	0
0	0.105802367893711	0.456998805423414	0	0
0	-1.64060553441858	0	0.450187101272656	0
0	-0.709946430921815	0	0	0.610726353489055
-0.367221476466509	-1.04413462631653	0	0.569719627442413	0
0.593946187628422	0.332950371213518	0	1.06309983727636	0
-0.461644730360566	1.43228223854166	0	-0.650696353310367	0
0.531496192632572	-1.51839408178679	0	0.306557860789766	0
1.17658331201856	-1.664972436212	0	-0.463530401472386	0
-1.11592010504285	-0.750819001193448	0	2.08716654562835	0
-0.619243048231147	2.20610246454047	0	-0.255027030141015	0
