ENCFF480FEJ	bed narrowPeak	peaks	ENCSR061NWO	ChIP-seq	UBERON:0000016	Pancreas	tissue	Homo sapiens										H3K9ac-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF811DTT, ENCFF910IQT	996453	Anshul Kundaje, Stanford	dfb4e16b21ddb3d37165d89a83bd191a		https://www.encodeproject.org/files/ENCFF480FEJ/@@download/ENCFF480FEJ.bed.gz	hg19				archived		low read length, mild to moderate bottlenecking	incorrect file bucket	insufficient read depth, control insufficient read depth	
ENCFF335GVH	bed narrowPeak	peaks	ENCSR061NWO	ChIP-seq	UBERON:0000016	Pancreas	tissue	Homo sapiens										H3K9ac-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF855TNJ, ENCFF925OIA	1024641	ENCODE Processing Pipeline	e724b2b454c0db46490a73bc03e794cb		https://www.encodeproject.org/files/ENCFF335GVH/@@download/ENCFF335GVH.bed.gz	hg19				released		low read length, mild to moderate bottlenecking	incorrect file bucket	insufficient read depth, control insufficient read depth	
ENCFF979SFL	bed narrowPeak	stable peaks	ENCSR061NWO	ChIP-seq	UBERON:0000016	Pancreas	tissue	Homo sapiens										H3K9ac-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF335GVH	844105	ENCODE Processing Pipeline	0d05ebd2f5a8a2469be3ebebcd2bc855		https://www.encodeproject.org/files/ENCFF979SFL/@@download/ENCFF979SFL.bed.gz	hg19				released		low read length, mild to moderate bottlenecking	incorrect file bucket	insufficient read depth, control insufficient read depth	
ENCFF227EUU	bed narrowPeak	stable peaks	ENCSR061NWO	ChIP-seq	UBERON:0000016	Pancreas	tissue	Homo sapiens										H3K9ac-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF601BUE	840813	ENCODE Processing Pipeline	45c012c7b25dd6ce6c3af78997f70490		https://www.encodeproject.org/files/ENCFF227EUU/@@download/ENCFF227EUU.bed.gz	GRCh38				released		low read length, mild to moderate bottlenecking	incorrect file bucket	insufficient read depth, control insufficient read depth	
ENCFF601BUE	bed narrowPeak	peaks	ENCSR061NWO	ChIP-seq	UBERON:0000016	Pancreas	tissue	Homo sapiens										H3K9ac-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF217AWR, ENCFF238GSL	1024847	ENCODE Processing Pipeline	c2a2f6f70f35b6defd2bc388f23bc636		https://www.encodeproject.org/files/ENCFF601BUE/@@download/ENCFF601BUE.bed.gz	GRCh38				released		low read length, mild to moderate bottlenecking	incorrect file bucket	insufficient read depth, control insufficient read depth	
ENCFF417AVX	bed narrowPeak	peaks	ENCSR183LNU	ChIP-seq	UBERON:0001774	Muscle_Skeletal	tissue	Homo sapiens										H3K9me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF819JOJ, ENCFF987VQL	1826822	Anshul Kundaje, Stanford	1903a6ccc20e6cc710e2518a36405cec		https://www.encodeproject.org/files/ENCFF417AVX/@@download/ENCFF417AVX.bed.gz	hg19				archived		low read length	incorrect file bucket	insufficient read depth, control insufficient read depth	
ENCFF546ZMF	bed narrowPeak	peaks	ENCSR183LNU	ChIP-seq	UBERON:0001774	Muscle_Skeletal	tissue	Homo sapiens										H3K9me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF136PLS, ENCFF255NJI	2673135	ENCODE Processing Pipeline	849bbf3e65803bbc53b0d6341fc3cf91		https://www.encodeproject.org/files/ENCFF546ZMF/@@download/ENCFF546ZMF.bed.gz	hg19				released		low read length	incorrect file bucket	insufficient read depth, control insufficient read depth	
ENCFF982RPH	bed narrowPeak	peaks	ENCSR183LNU	ChIP-seq	UBERON:0001774	Muscle_Skeletal	tissue	Homo sapiens										H3K9me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF450SEM, ENCFF470NZA	2631529	ENCODE Processing Pipeline	c417e3d11b09cb48a0eb917b8f3a6abf		https://www.encodeproject.org/files/ENCFF982RPH/@@download/ENCFF982RPH.bed.gz	GRCh38				released		low read length	incorrect file bucket	insufficient read depth, control insufficient read depth	
ENCFF504TYM	bed narrowPeak	stable peaks	ENCSR183LNU	ChIP-seq	UBERON:0001774	Muscle_Skeletal	tissue	Homo sapiens										H3K9me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF982RPH	705149	ENCODE Processing Pipeline	f72220d41413e561b516f142b7aa4037		https://www.encodeproject.org/files/ENCFF504TYM/@@download/ENCFF504TYM.bed.gz	GRCh38				released		low read length	incorrect file bucket	insufficient read depth, control insufficient read depth	
ENCFF693QCC	bed narrowPeak	stable peaks	ENCSR183LNU	ChIP-seq	UBERON:0001774	Muscle_Skeletal	tissue	Homo sapiens										H3K9me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF546ZMF	749727	ENCODE Processing Pipeline	7742429178bc536fbda421429f67a358		https://www.encodeproject.org/files/ENCFF693QCC/@@download/ENCFF693QCC.bed.gz	hg19				released		low read length	incorrect file bucket	insufficient read depth, control insufficient read depth	
ENCFF398GCM	bed narrowPeak	stable peaks	ENCSR486NDF	ChIP-seq	UBERON:0001264	Pancreas	tissue	Homo sapiens										H3K27me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF962TQM	107996	ENCODE Processing Pipeline	6119b6b38b143523fad03e8337cef8eb		https://www.encodeproject.org/files/ENCFF398GCM/@@download/ENCFF398GCM.bed.gz	GRCh38				released		low read length, mild to moderate bottlenecking	incorrect file bucket	insufficient read depth, control insufficient read depth	
ENCFF388XNV	bed narrowPeak	stable peaks	ENCSR486NDF	ChIP-seq	UBERON:0001264	Pancreas	tissue	Homo sapiens										H3K27me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF042FNR	118051	ENCODE Processing Pipeline	de66333cbffb66c8431782a9a65d199f		https://www.encodeproject.org/files/ENCFF388XNV/@@download/ENCFF388XNV.bed.gz	hg19				released		low read length, mild to moderate bottlenecking	incorrect file bucket	insufficient read depth, control insufficient read depth	
ENCFF962TQM	bed narrowPeak	peaks	ENCSR486NDF	ChIP-seq	UBERON:0001264	Pancreas	tissue	Homo sapiens										H3K27me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF623LBS, ENCFF987RZA	354385	ENCODE Processing Pipeline	0eb56ecf4d1dc0991b1cc4626ab5c890		https://www.encodeproject.org/files/ENCFF962TQM/@@download/ENCFF962TQM.bed.gz	GRCh38				released		low read length, mild to moderate bottlenecking	incorrect file bucket	insufficient read depth, control insufficient read depth	
ENCFF042FNR	bed narrowPeak	peaks	ENCSR486NDF	ChIP-seq	UBERON:0001264	Pancreas	tissue	Homo sapiens										H3K27me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF727IFB, ENCFF932VMB	436394	ENCODE Processing Pipeline	4f35ece7247e6026d923eb596f8f02be		https://www.encodeproject.org/files/ENCFF042FNR/@@download/ENCFF042FNR.bed.gz	hg19				released		low read length, mild to moderate bottlenecking	incorrect file bucket	insufficient read depth, control insufficient read depth	
