File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Restricted	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF458EBP	bed bed3+	enrichment	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF434XSW, ENCFF967OQF	73143202	ENCODE Processing Pipeline	398083c409142107dacc156d1eace937		https://www.encodeproject.org/files/ENCFF458EBP/@@download/ENCFF458EBP.bed.gz	GRCh38			released		low read depth, low spot score			
ENCFF725PDQ	bed broadPeak	hotspots	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF434XSW, ENCFF967OQF	1005933	ENCODE Processing Pipeline	2251959a721dc8e645bc56988e88049f		https://www.encodeproject.org/files/ENCFF725PDQ/@@download/ENCFF725PDQ.bed.gz	GRCh38			released		low read depth, low spot score			
ENCFF426FAC	bed narrowPeak	peaks	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF434XSW, ENCFF967OQF	717212	ENCODE Processing Pipeline	6f1f133d5b846393ddb4f2b30ab0647d		https://www.encodeproject.org/files/ENCFF426FAC/@@download/ENCFF426FAC.bed.gz	GRCh38			released		low read depth, low spot score			
ENCFF326MDN	bigBed narrowPeak	peaks	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF434XSW, ENCFF967OQF	952363	ENCODE Processing Pipeline	16378a3559b0d6846ecabeb1236aa2b7		https://www.encodeproject.org/files/ENCFF326MDN/@@download/ENCFF326MDN.bigBed	GRCh38			released		low read depth, low spot score			
ENCFF942QAN	bigBed broadPeak	hotspots	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF434XSW, ENCFF967OQF	1478528	ENCODE Processing Pipeline	95eafe83e76fa5293c1513f228600606		https://www.encodeproject.org/files/ENCFF942QAN/@@download/ENCFF942QAN.bigBed	GRCh38			released		low read depth, low spot score			
ENCFF398DNQ	bed bed3+	enrichment	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF008KZY, ENCFF390DNP	73162338	ENCODE Processing Pipeline	77f9e576a298c7883cf1011ba7c99d41		https://www.encodeproject.org/files/ENCFF398DNQ/@@download/ENCFF398DNQ.bed.gz	hg19			released		low read depth, low spot score			
ENCFF097XMA	bed broadPeak	hotspots	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF008KZY, ENCFF390DNP	1005808	ENCODE Processing Pipeline	fd59f4e81eb100532615f982983ea303		https://www.encodeproject.org/files/ENCFF097XMA/@@download/ENCFF097XMA.bed.gz	hg19			released		low read depth, low spot score			
ENCFF276TVG	bed narrowPeak	peaks	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF008KZY, ENCFF390DNP	718101	ENCODE Processing Pipeline	49d5be8820263e19e3af191b9bbd2ed3		https://www.encodeproject.org/files/ENCFF276TVG/@@download/ENCFF276TVG.bed.gz	hg19			released		low read depth, low spot score			
ENCFF349WSO	bigBed narrowPeak	peaks	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF008KZY, ENCFF390DNP	951969	ENCODE Processing Pipeline	24b08e34f58db88f8c077dfdfccbe9e8		https://www.encodeproject.org/files/ENCFF349WSO/@@download/ENCFF349WSO.bigBed	hg19			released		low read depth, low spot score			
ENCFF540QEW	bigBed broadPeak	hotspots	ENCSR765BSU	DNase-seq	UBERON:0004539	Kidney_Cortex	tissue	Homo sapiens					DNA		see document			False	2013-07-31	Roadmap				1							ENCFF008KZY, ENCFF390DNP	1477044	ENCODE Processing Pipeline	4784870f487b2523ca0e24037b7ff9ca		https://www.encodeproject.org/files/ENCFF540QEW/@@download/ENCFF540QEW.bigBed	hg19			released		low read depth, low spot score			
